AIUCD
American Antiquarian Society
Beck Center
Berlin
Biblioteca Borgesiensis
Bodleian Libraries
Brandeis University
Brown University
California State University
Center for Portuguese Literature at the University of Coimbra
College at Geneseo
CUNY
Dickinson College
Emory University
Friends Historical Library of Swarthmore College
Georgia Regents University
Hamilton College
IMF
Indiana University
Indiana University Libraries
Indiana University
JoÅ¾ef Stefan Institute
King's College London
Kyoto University
Lou Burnard Consulting
Loyola University Maryland
Massachusetts
Massachusetts Historical Society
New York Public Library
Northeastern University
NYU Libraries
Okanagan
Penn State
Pennsylvania State University
Pompeu Fabra University
Pompeu Fabra University
Portland State University
Princeton University
Providence College
Quack College
Ryerson University
Simmons College
State University of New York
TAPAS
Texas A&M University
The Graduate Center
The Ohio State University
UCLA Digital Library Program
Universidade de Santiago de Compostela
University of British Columbia
University of Calgary
University of California - Berkeley
University of Illinois at Urbana-Champaign
University of Oregon
University of Oxford
University of Pennsylvania
University of Pittsburgh at Greensburg
University of Texas
University of Toronto
University of Tulsa
University of Virginia
University of Warsaw
University of WÃ¼rzburg
Vassar College
Washington and Lee University
Wheaton College
Willamette University
Yale
